Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
13,105.74152292178678,98.21901858630758,5.298591360153376,-0.2998120841448697,0.018799999999999928,0.0156,0.02200000000000002,2000,0.0005679215154986489,0.0005679215154986489,0.0005679215154986489,13_14:0.019010636418295535; 13_12:0.019805175104647355,13_14:660; 13_12:660
14,46.12192298918621,30.10015545174429,5.461164904168781,-0.29641322017408017,0.05709999999999993,0.0294,0.08479999999999999,2000,0.0007620120651016936,0.0007620120651016936,0.0007620120651016936,14_15:0.07202811538840664,14_15:660
15,85.48531243644545,26.97179602529242,5.220993509052708,0,0.31500000000000006,0.30000000000000004,0.33,2000,0.0016961886271159967,0.0016961886271159967,0.0016961886271159967,undefined,undefined
16,83.3390600357297,36.139895876699875,5.307722561097959,-0.3000535997999543,0.050000000000000044,0.056666666666666664,0.043333333333333335,2000,0.0006522789767787367,0.0006522789767787367,0.0006522789767787367,16_17:0.032103251858991905; 16_15:0.046391021498434076,16_17:660; 16_15:660
17,77.74932578117047,5.740494112551781,5.418750814270975,-0.2965878498802911,0.07333333333333336,0.08666666666666667,0.06,2000,0.0013050199771833374,0.0013050199771833374,0.0013050199771833374,17_18:0.09300101030337753,17_18:660
18,101.68870685005412,7.723939362445472,5.267907432649795,-0.29934580134385674,0.20833333333333326,0.22999999999999998,0.18666666666666668,2000,0.0014961774890576882,0.0014961774890576882,0.0014961774890576882,18_19:0.058576872253560786,18_19:660
19,127.67021016229995,24.851815466173097,5.230793810233545,-0.29897347969110183,0.03200000000000003,0.025599999999999956,0.0384,2000,0.0006982105027114914,0.0006982105027114914,0.0006982105027114914,undefined,undefined
20,95.94286742532566,23.091946916192732,5.134874370902451,-0.30281757839212553,0.10999999999999999,0.1233333333333333,0.09666666666666666,2000,0.000543672245873882,0.000543672245873882,0.000543672245873882,20_19:0.04559390491744811; 20_31:1,20_19:660; 20_31:660
21,59.96474796047359,31.544976821543916,5.231798216655542,-0.30037141194249195,0.020399999999999974,0.023800000000000043,0.017,2000,0.0009670591220119165,0.0009670591220119165,0.0009670591220119165,21_20:0.022953234458149285; 21_22:0.035670963335865086,21_20:660; 21_22:660
22,20.869264427874974,18.19235654771267,5.046498869065711,-0.30150004861559054,0.13029999999999997,0.105,0.15559999999999996,2000,0.001393399376356774,0.001393399376356774,0.001393399376356774,22_23:0.04039287433790226,22_23:660
23,95.9243682427379,14.946044025814784,5.140511353553215,-0.30245688407234067,0.054300000000000015,0.04379999999999995,0.0648,2000,0.0009742198344445526,0.0009742198344445526,0.0009742198344445526,undefined,undefined
24,74.3512574472489,19.11896848816654,5.393777409499898,-0.29867142151749587,0.125,0.1266666666666667,0.12333333333333334,2000,0.0007447143007406762,0.0007447143007406762,0.0007447143007406762,24_23:0.02286360970180329; 24_32:1,24_23:660; 24_32:660
25,60.80361475247882,6.947339835558831,5.35713931376748,-0.2955292668068824,0.058599999999999985,0.0522,0.06499999999999995,2000,0.001253410103311902,0.001253410103311902,0.001253410103311902,25_24:0.032405337174341575,25_24:660
26,70.15761702714902,97.99108071925153,5.153878967636013,-0.3012926069143815,0.017199999999999993,0.018,0.01639999999999997,2000,0.0004277502348436475,0.0004277502348436475,0.0004277502348436475,undefined,undefined
27,117.76925475649733,12.144344355592215,5.286655800998377,-0.29904613745622527,0.02100000000000002,0.026,0.016000000000000014,2000,0.0006283095752094014,0.0006283095752094014,0.0006283095752094014,undefined,undefined
28,85.72144272149319,85.68123424391607,5.276490589505351,-0.29934554321388585,0.05700000000000005,0.053,0.061000000000000054,2000,0.0006610410741203144,0.0006610410741203144,0.0006610410741203144,undefined,undefined
29,98.51728867408862,61.3648272240269,5.105835355624554,-0.302223218016758,0.08499999999999996,0.1333333333333333,0.03666666666666667,2000,0.004664391966550372,0.004664391966550372,0.004664391966550372,29_45:0.28804057694655943,29_45:660
30,104.88459270333367,136.4366789229846,5.140153945578968,-0.30132590170444273,0.01429999999999998,0.0166,0.01200000000000001,2000,0.0008734836983819237,0.0008734836983819237,0.0008734836983819237,30_16:0.019923963716237086,30_16:660
31,92.9925505710917,15.268513713282038,5.194185862767555,0,0.1416666666666666,0.11333333333333333,0.17000000000000004,2000,0.0038503138752929624,0.0038503138752929624,0.0038503138752929624,undefined,undefined
32,65.73737490733157,56.63769441086005,5.08253855557805,-0.30212047662702674,0.08666666666666667,0.1166666666666667,0.056666666666666664,2000,0.0007301598757013698,0.0007301598757013698,0.0007301598757013698,undefined,undefined
33,115.82245882529469,102.4369322534133,5.0814878822504745,-0.3031180846409654,0.01629999999999998,0.014599999999999946,0.018,2000,0.0003378068217637656,0.0003378068217637656,0.0003378068217637656,33_26:0.009641973292600053,33_26:660
34,36.42940407834244,48.94314977553255,5.5037995629151775,-0.2920981165638953,0.029099999999999904,0.02959999999999996,0.0286,2000,0.0005888194517765908,0.0005888194517765908,0.0005888194517765908,34_33:0.030945543332137254; 34_35:0.03230269699334104,34_33:1260; 34_35:660
35,108.93211696937941,40.937670553232344,5.311569407776589,-0.3000381129192681,0.018399999999999972,0.0262,0.0106,2000,0.003704267194633377,0.003704267194633377,0.003704267194633377,35_36:0.0347331819871351,35_36:660
36,164.03491980240577,86.20143131684948,5.103919999267696,-0.30175005632891033,0.19500000000000006,0.14333333333333334,0.2466666666666667,2000,0.0005366966169273759,0.0005366966169273759,0.0005366966169273759,36_37:0.027496174202168183,36_37:660
37,87.1128678849039,42.18036245906454,5.141022835096193,-0.3728991428542806,0.375,0.31999999999999995,0.43,2000,0.0015503583741185397,0.0015503583741185397,0.0015503583741185397,37_27:0.04924319470311869,37_27:660
38,76.8377578000651,14.691850017739643,5.383017888397609,-0.29479073371649994,0.18166666666666664,0.22333333333333333,0.14,2000,0.0007563879844878896,0.0007563879844878896,0.0007563879844878896,38_39:0.05175644329793791; 38_37:0.027297086186120784,38_39:660; 38_37:660
39,119.72794514753514,65.8484773704741,4.992184802607488,-0.3032647006829683,0.19999999999999996,0.2533333333333333,0.14666666666666667,2000,0.00042906382937151394,0.00042906382937151394,0.00042906382937151394,undefined,undefined
40,75.00693246824522,106.20468779211565,5.2302658109404945,-0.299660258844612,0.038000000000000034,0.0246,0.0514,2000,0.0003863376507962758,0.0003863376507962758,0.0003863376507962758,40_41:0.032733276894303553; 40_39:0.023054050190527697,40_41:660; 40_39:660
41,3.0414397364653682,52.45739606111248,5.345123926359938,-0.29908972120086685,0.03359999999999996,0.05259999999999998,0.0146,2000,0.000963751380246542,0.000963751380246542,0.000963751380246542,41_28:0.016996223296629726,41_28:660
42,35.90015676322663,52.351778596846486,5.462046542560376,-0.29301124000452244,0.0746,0.027200000000000002,0.122,2000,0.001034908717618701,0.001034908717618701,0.001034908717618701,42_41:0.034488210002108055; 42_43:0.029494919982103462,42_41:660; 42_43:660
43,59.38363741025293,124.04924844957345,5.218627135675576,-0.301012086950068,0.06440000000000001,0.05400000000000005,0.0748,2000,0.000479974899026271,0.000479974899026271,0.000479974899026271,43_62:0.015680225388677305; 43_44:0.014334419835587447,43_62:660; 43_44:660
44,51.502353502707855,66.12995881320849,5.344760517094376,-0.29536765900373635,0.366,0.301,0.43100000000000005,2000,0.0006572763209952097,0.0006572763209952097,0.0006572763209952097,44_45:0.022542302009962656,44_45:660
45,98.12848668250379,64.23488999044702,5.20566786539882,-0.3011553201564204,0.07833333333333337,0.10333333333333339,0.05333333333333334,2000,0.0007646247213225799,0.0007646247213225799,0.0007646247213225799,45_46:0.016659652196497704,45_46:660
46,72.0930184009998,75.42769545151901,5.363516125949813,-0.29573747540808326,0.2902,0.1388,0.4416,2000,0.0006337684207559744,0.0006337684207559744,0.0006337684207559744,46_47:0.01303358715939687,46_47:660
47,105.8292461826284,92.41610601275926,5.105890557916333,-0.3026638325416394,0.3032,0.3104,0.296,2000,0.0007314382889637644,0.0007314382889637644,0.0007314382889637644,undefined,undefined
48,180.01514947475025,41.79709031013164,5.132917693605032,-0.3825325557820223,0.12729999999999997,0.11399999999999999,0.1406,2000,0.0015220873376456203,0.0015220873376456203,0.0015220873376456203,48_47:0.03200875485734736,48_47:660
49,85.59742381129492,71.38931724587576,5.246615883140618,-0.30011937857830556,0.05510000000000004,0.0492,0.061000000000000054,2000,0.0006350601664123301,0.0006350601664123301,0.0006350601664123301,49_30:0.01680413521009111; 49_50:0.013149827672512299; 49_48:0.03827531147507432,49_30:660; 49_50:660; 49_48:660
50,65.94781334474268,80.85347927968617,5.286707701814125,-0.29795888161389295,0.052100000000000035,0.0478,0.056400000000000006,2000,0.0004798497814082674,0.0004798497814082674,0.0004798497814082674,50_51:0.03849742774664275,50_51:364
51,92.05179615295947,53.88553587318364,5.168003352525179,-0.3008398741273562,0.046666666666666634,0.053333333333333344,0.04,2000,0.0047128599150324585,0.0047128599150324585,0.0047128599150324585,51_52:1,51_52:660
52,65.03489280445928,74.85367872348793,4.8553450696099345,-0.30591847681877365,0.17000000000000004,0.23333333333333334,0.10666666666666669,2000,0.0005050913704647789,0.0005050913704647789,0.0005050913704647789,undefined,undefined
53,82.98100309862049,43.86216197268478,5.277482900929707,-0.29948595093550895,0.03833333333333333,0.046666666666666634,0.03,2000,0.0005001314382788804,0.0005001314382788804,0.0005001314382788804,53_52:0.018279513820554733; 53_54:0.030364074473332864; 53_31:0.14712372984834424,53_52:1060; 53_54:660; 53_31:660
54,104.84931407332238,19.236950907760853,5.1531756681356,-0.22286328743063036,0.32999999999999996,0.35,0.31,2000,0.0029648149748419702,0.0029648149748419702,0.0029648149748419702,54_55:1,54_55:660
55,63.53824642193017,57.81148862779413,5.212827603021879,-0.3015735747274857,0.08999999999999997,0.09,0.08999999999999997,2000,0.0007750270478418687,0.0007750270478418687,0.0007750270478418687,undefined,undefined
56,85.26696272033098,37.98724243975536,5.170268817978228,-0.24402195267238183,0.08729999999999993,0.0844,0.09019999999999995,2000,0.1709560240108716,0.1709560240108716,0.1709560240108716,56_57:0.07372317963173466; 56_55:0.24363801028915233,56_57:660; 56_55:660
57,124.54363092047913,76.87900004044445,5.258593396099999,-0.2999759574871662,0.019100000000000006,0.019000000000000017,0.0192,2000,0.0005171630345048412,0.0005171630345048412,0.0005171630345048412,57_58:0.012143016324262484; 57_32:0.012328489117179958,57_58:660; 57_32:660
58,56.46259204093839,78.6700839399963,5.381163907755792,-0.29475993578141274,0.08479999999999999,0.0824,0.08720000000000006,2000,0.0005062128305906379,0.0005062128305906379,0.0005062128305906379,58_59:0.02676488942821781,58_59:660
59,74.97235908064023,60.57448884922668,5.446742986087153,-0.29720962889870906,0.011800000000000033,0.0144,0.009199999999999986,2000,0.000770788894754885,0.000770788894754885,0.000770788894754885,59_66:0.032007612501174704,59_66:660
60,135.8411906316213,114.69487467796318,5.1403721792445936,-0.3009189600156366,0.01529999999999998,0.014599999999999946,0.016,2000,0.0006019863381589314,0.0006019863381589314,0.0006019863381589314,60_35:0.043819768619483584; 60_69:0.011643083587092623,60_35:660; 60_69:660
61,121.4341501671145,95.46359426763462,5.065494431523587,-0.30302233847394167,0.02310000000000001,0.02100000000000002,0.0252,2000,0.000378451521740548,0.000378451521740548,0.000378451521740548,61_73:0.014966842379113998; 61_39:0.009853608609766862,61_73:660; 61_39:660
62,53.432265253845735,63.441749174151504,5.316606365004458,-0.2980424660250047,0.053200000000000025,0.028200000000000003,0.0782,2000,0.0007078728293440455,0.0007078728293440455,0.0007078728293440455,undefined,undefined
63,84.59400990538136,111.42284488268055,5.217373717578335,-0.30082785092292885,0.16090000000000004,0.11839999999999995,0.2034,2000,0.0003697187158880642,0.0003697187158880642,0.0003697187158880642,63_47:0.01567682795582412; 63_81:0.01706034555203259,63_47:660; 63_81:660
64,88.02383806835212,128.35564339915413,5.246102022179556,-0.3005757049798933,0.2683333333333333,0.37,0.16666666666666666,2000,0.0024668581764546353,0.0024668581764546353,0.0024668581764546353,64_85:0.03256811710779803; 64_51:0.0694596406605382,64_85:660; 64_51:660
65,85.88111497750869,31.624548594941665,5.103346148098482,-0.30207530891085643,0.1383333333333333,0.09,0.18666666666666665,2000,0.0003820876421638201,0.0003820876421638201,0.0003820876421638201,65_55:0.014082513851418288; 65_89:0.16428545294702387,65_55:660; 65_89:660
66,71.98507496593963,138.3222171998178,5.352344482561074,-0.2979608396059907,0.020299999999999985,0.021,0.01959999999999995,2000,0.0018996046055194946,0.0018996046055194946,0.0018996046055194946,66_93:0.026113209601052262,66_93:660
67,91.59970291282045,40.03777082711947,5.119383903845825,-0.3017935113466327,0.030000000000000027,0.0382,0.02180000000000004,2000,0.00035181830390165856,0.00035181830390165856,0.00035181830390165856,67_68:0.01276469513791384; 67_94:1,67_68:660; 67_94:135
68,117.10281417608196,63.85085798645374,5.26853884913574,-0.2989158937353456,0.014499999999999957,0.008600000000000052,0.0204,2000,0.0004936151531222907,0.0004936151531222907,0.0004936151531222907,68_69:0.011486424451219751,68_69:660
69,100.08129134760938,51.154180311912725,5.20715848746489,-0.3014080293070309,0.016599999999999948,0.014800000000000035,0.0184,2000,0.00039724423606996554,0.00039724423606996554,0.00039724423606996554,undefined,undefined
70,106.16078417753842,86.87953557440925,5.301495217458963,-0.29774455698890123,0.018199999999999994,0.016199999999999992,0.0202,2000,0.0003295946937854756,0.0003295946937854756,0.0003295946937854756,70_69:0.010715414238954168; 70_71:0.01010071375605498,70_69:660; 70_71:660
71,67.1121610055924,42.06921536290898,5.234894521188099,-0.2997689792561092,0.034399999999999986,0.0274,0.04139999999999999,2000,0.0003899372047259985,0.0003899372047259985,0.0003899372047259985,71_72:0.015557482775946818,71_72:660
72,36.44380326724856,41.387661567939226,5.181797815346568,-0.30018904522929685,0.07569999999999999,0.0812,0.07020000000000004,2000,0.0006053029604694224,0.0006053029604694224,0.0006053029604694224,72_73:0.0256648816887729,72_73:660
73,29.0821151931892,50.97083984405086,5.14803776967838,-0.3028119526652121,0.15449999999999997,0.1608,0.1482,2000,0.0007108618446175617,0.0007108618446175617,0.0007108618446175617,undefined,undefined
74,82.43468204457835,15.56763351341227,5.084558174276247,-0.30133860849008787,0.19209999999999994,0.19740000000000002,0.1868,2000,0.0008319175683222386,0.0008319175683222386,0.0008319175683222386,74_73:0.020046215477364182; 74_75:0.019084873853251,74_73:660; 74_75:660
75,34.65224656784855,42.59714433774884,5.134224765998973,-0.30001310599564174,0.09166666666666667,0.12,0.06333333333333334,2000,0.00575131567124071,0.00575131567124071,0.00575131567124071,75_96:0.06877843347738913,75_96:660
76,84.84280017792254,100.32472704106821,5.060819976267166,-0.30208845383779614,0.22799999999999998,0.22240000000000004,0.2336,2000,0.0003702580983509474,0.0003702580983509474,0.0003702580983509474,76_75:0.014473854656124274; 76_77:0.011698583423687181,76_75:660; 76_77:660
77,107.04880729824521,68.62639465102897,5.161692330195876,-0.3021098681940016,0.016900000000000026,0.011,0.022800000000000042,2000,0.0003673286946991739,0.0003673286946991739,0.0003673286946991739,77_62:0.013093223719735064; 77_78:0.018852368271985998,77_62:660; 77_78:660
78,78.32853164227089,43.41793193118559,5.1149796074638285,-0.30098183474870527,0.025399999999999978,0.014399999999999968,0.0364,2000,0.0005004446683392921,0.0005004446683392921,0.0005004446683392921,78_79:0.03367876292172123,78_79:660
79,128.37741712941803,107.54719033699982,4.9612869947900435,-0.30377011331174225,0.06666666666666665,0.08333333333333337,0.05,2000,0.013580743952770783,0.013580743952770783,0.013580743952770783,79_80:0.040488483965267635,79_80:660
80,108.13792729607322,113.98499468331515,5.008582356413155,-0.3032241447162601,0.08333333333333337,0.09666666666666668,0.07,2000,0.0004141676128778089,0.0004141676128778089,0.0004141676128778089,80_81:0.01358161740695904,80_81:660
81,95.33182656087449,97.5872970354224,5.097098924576715,-0.3031685621675892,0.05230000000000001,0.0626,0.04200000000000004,2000,0.00037745967464126735,0.00037745967464126735,0.00037745967464126735,undefined,undefined
82,84.06525667333993,120.16755178322154,4.972222665773507,-0.3034599240798932,0.10833333333333339,0.1233333333333333,0.09333333333333334,2000,0.00039558076047040684,0.00039558076047040684,0.00039558076047040684,82_81:0.012935867868521939,82_81:660
83,2.6741288137431862,5.37906122294908,5.197648164153023,-0.3483615114421922,0.125,0.18666666666666668,0.06333333333333335,2000,0.008057837524921684,0.008057837524921684,0.008057837524921684,83_82:0.2681770056215074; 83_84:1,83_82:660; 83_84:660
84,77.88230442256015,72.37035333708491,5.148723790882633,-0.3003011325455577,0.10833333333333339,0.08333333333333333,0.1333333333333333,2000,0.0004463480751229152,0.0004463480751229152,0.0004463480751229152,84_85:0.01606440168567877,84_85:660
