Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
111,26.364504225628387,53.92292695568628,5.229466669373732,-0.30191672646500795,0.01333333333333342,0.016666666666666666,0.010000000000000009,2000,0.09473586644736402,0.09473586644736402,0.09473586644736402,111_112:0.03460336918926318; 111_130:1,111_112:660; 111_130:660
112,28.54263088733392,39.039649139241114,5.08679888494469,-0.2946164262525555,0.06833333333333336,0.09999999999999998,0.03666666666666667,2000,0.0008095803938607738,0.0008095803938607738,0.0008095803938607738,112_113:0.03182176499577272,112_113:660
113,79.00408665185554,33.55031643765695,5.178450984782119,0,0.40669999999999995,0.38959999999999995,0.4238,2000,0.0011867043921801898,0.0011867043921801898,0.0011867043921801898,113_97:0.023230618188293944; 113_114:0.018180489064597183,113_97:660; 113_114:660
114,88.06545000818453,59.94089394234896,5.21976195484952,-0.298820492368671,0.24580000000000002,0.2384,0.2532,2000,0.00043917879314436727,0.00043917879314436727,0.00043917879314436727,114_115:0.01352926813166061,114_115:660
115,119.04774290783405,95.72614050269752,5.141948735611845,-0.30236723477996225,0.12129999999999996,0.1174,0.12519999999999998,2000,0.0005005084901189113,0.0005005084901189113,0.0005005084901189113,undefined,undefined
116,102.74236425019889,102.86644731365195,5.04451127665504,-0.30233208996379557,0.010499999999999954,0.011399999999999966,0.0096,2000,0.00041041260787483746,0.00041041260787483746,0.00041041260787483746,116_117:0.016891794265144616; 116_115:0.016430685689310415,116_117:660; 116_115:660
117,103.1656886827453,23.106283185699898,5.13858957996364,-0.2963559719529893,0.04479999999999995,0.04920000000000002,0.0404,2000,0.0005536561602261364,0.0005536561602261364,0.0005536561602261364,undefined,undefined
118,52.853083572525186,33.1272468428296,5.413544780174002,-0.29482997359403595,0.013700000000000045,0.014,0.013399999999999967,2000,0.000673295191323884,0.000673295191323884,0.000673295191323884,118_119:0.02382727370192414; 118_117:0.057975991576879854,118_119:660; 118_117:660
119,67.94752797287487,49.33133150943428,5.29404831841375,-0.29999749671588893,0.008199999999999985,0.0098,0.00660000000000005,2000,0.0009600992582305615,0.0009600992582305615,0.0009600992582305615,119_120:1,119_120:660
120,73.89116194821352,56.55549063296042,5.118408782360994,-0.3017037956274723,0.1622,0.1978,0.12660000000000005,2000,0.00045850593543908855,0.00045850593543908855,0.00045850593543908855,120_121:0.016331600504694704,120_121:660
121,152.35112438388586,54.33552644040942,5.0837040049542805,-0.3024453834124367,0.01869999999999994,0.021,0.01639999999999997,2000,0.0004599483663794514,0.0004599483663794514,0.0004599483663794514,121_99:0.02103868872749906,121_99:660
122,71.28319719817026,35.44924389283146,5.293237655808837,-0.29397234711931475,0.044499999999999984,0.0472,0.04179999999999995,2000,0.005966855916683407,0.005966855916683407,0.005966855916683407,122_123:0.04971647041985; 122_121:0.04400632715815528,122_123:660; 122_121:660
123,109.79198972922735,63.337315834282215,5.139651072958256,-0.30222213497793116,0.08789999999999998,0.072,0.1038,2000,0.00048238063134278835,0.00048238063134278835,0.00048238063134278835,undefined,undefined
124,94.92242526968205,97.84174120404626,5.272661228004079,-0.2986613572300137,0.05889999999999995,0.0168,0.10099999999999998,2000,0.0002945804274189917,0.0002945804274189917,0.0002945804274189917,124_125:0.010729885662147637; 124_123:0.012799021514827674,124_125:660; 124_123:660
125,93.80995177893064,84.40114438189785,5.114245016140267,-0.30148889032430115,0.008599999999999941,0.0122,0.0050000000000000044,2000,0.0003497336778043412,0.0003497336778043412,0.0003497336778043412,125_100:0.026545177410355142,125_100:660
126,38.8779346582875,39.76802662355699,5.526795325140075,-0.2914828280668679,0.0855999999999999,0.0226,0.14859999999999995,2000,0.0007899887768104116,0.0007899887768104116,0.0007899887768104116,126_125:0.030836792326280782; 126_127:0.025970928449093267,126_125:1404; 126_127:660
127,122.4779363918242,76.25774847769158,5.309076195204907,-0.2992376749634447,0.03739999999999999,0.0372,0.03759999999999997,2000,0.0004239445170465652,0.0004239445170465652,0.0004239445170465652,undefined,undefined
128,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,128_137:1,128_137:135
129,102.37247554387991,72.78130491879318,5.183436778187532,-0.3014654831424457,0.02299999999999991,0.013399999999999967,0.0326,2000,0.0007476568347195054,0.0007476568347195054,0.0007476568347195054,129_107:0.012163453714118339; 129_141:0.01088782974043348,129_107:660; 129_141:660
130,120.13512279528088,103.72694778064498,5.189901778936779,-0.300630971705487,0.09166666666666667,0.1,0.08333333333333337,2000,0.0003467482823201174,0.0003467482823201174,0.0003467482823201174,130_145:0.052270163365113226,130_145:660
131,104.36213644470054,85.64084062892773,5.099825115097982,-0.3021947514261434,0.03059999999999996,0.0146,0.046599999999999975,2000,0.0004191670399819492,0.0004191670399819492,0.0004191670399819492,131_115:0.013187468665177976; 131_149:0.0130624984976552,131_115:660; 131_149:660
132,110.96936057455699,123.40353625905041,5.149406571479659,-0.301250366277811,0.02279999999999993,0.024,0.021599999999999953,2000,0.00028528313886165866,0.00028528313886165866,0.00028528313886165866,132_119:0.016537655439973264; 132_153:0.01860066871688751,132_119:660; 132_153:660
133,103.69931733726834,21.9174356979592,5.200702443229266,-0.30060774836772874,0.016000000000000014,0.0172,0.014800000000000035,2000,0.0005451199143486179,0.0005451199143486179,0.0005451199143486179,133_123:0.015448031533942086; 133_157:0.017698325544898252,133_123:660; 133_157:660
134,95.2452285447937,142.30970591391113,5.108472327955153,-0.30177548943812543,0.008199999999999985,0.0082,0.008199999999999985,2000,0.00031226154102877754,0.00031226154102877754,0.00031226154102877754,134_161:0.010392773281574619; 134_127:0.011429931399072474,134_161:660; 134_127:764
135,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,135_162:1; 135_136:1,135_162:135; 135_136:135
136,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,136_137:1,136_137:135
137,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,137_138:1,137_138:135
138,94.73267953438572,71.58739103559894,5.0092288521262,-0.30309502632283,0.054300000000000015,0.06279999999999997,0.0458,2000,0.0003673605879031266,0.0003673605879031266,0.0003673605879031266,138_139:0.012182889988123918,138_139:660
139,68.9982885737608,55.91298921109376,4.90687823330506,-0.3053697937919138,0.021399999999999975,0.0184,0.024399999999999977,2000,0.0003636169807637027,0.0003636169807637027,0.0003636169807637027,139_140:0.07767823496571599,139_140:660
140,164.34071423368462,56.38104836270684,4.983181558990372,-0.30375897406915775,0.038799999999999946,0.040000000000000036,0.0376,2000,0.0006012804806386095,0.0006012804806386095,0.0006012804806386095,140_141:0.013873501586216752,140_141:660
141,110.59223160806987,84.6421956614193,5.108033185334881,-0.3025325307855373,0.07000000000000006,0.0654,0.0746,2000,0.000441510219022219,0.000441510219022219,0.000441510219022219,141_142:0.015910270032993196,141_142:660
142,94.57541433880046,34.786621144669354,5.198396725168089,-0.2996591501978243,0.014899999999999913,0.0144,0.01539999999999997,2000,0.0006233443406249563,0.0006233443406249563,0.0006233443406249563,142_143:0.012781175992851085,142_143:660
143,157.95767919654142,91.74865371440207,4.979639931362156,-0.30429005341698484,0.012900000000000023,0.0172,0.008600000000000052,2000,0.0003753071556983492,0.0003753071556983492,0.0003753071556983492,143_144:0.019577961029060287,143_144:660
144,110.36021436424046,49.6444479998442,5.078994170665008,-0.30061860316919436,0.008399999999999963,0.006399999999999961,0.0104,2000,0.0010748585340242419,0.0010748585340242419,0.0010748585340242419,144_145:0.04045487695291394,144_145:660
145,11.413050195470124,49.080130951576955,5.017918153350186,-0.3037921594378664,0.033333333333333326,0.040000000000000036,0.02666666666666667,2000,0.0019022588490442637,0.0019022588490442637,0.0019022588490442637,145_146:0.04888807883575949,145_146:660
146,188.49711254230576,13.806010291843458,5.089835670617386,-0.30216667489040294,0.1233333333333333,0.10999999999999999,0.13666666666666666,2000,0.0012354736143242865,0.0012354736143242865,0.0012354736143242865,undefined,undefined
147,123.57831967350171,112.94833732083372,4.907276802057401,-0.3051514859096654,0.09333333333333338,0.09333333333333334,0.09333333333333338,2000,0.0004301597313384027,0.0004301597313384027,0.0004301597313384027,147_146:0.026622701274766736; 147_148:0.043413602613621566,147_146:860; 147_148:660
148,126.59653830996751,74.7109250331236,5.0670695737594915,-0.3024202643376844,0.10709999999999997,0.128,0.0862,2000,0.00040620822704397593,0.00040620822704397593,0.00040620822704397593,148_149:0.015274767348192275,148_149:660
149,118.97690575327249,75.25794999806769,5.009157521247178,-0.3036857727446059,0.14139999999999997,0.144,0.13880000000000003,2000,0.0005283333946382289,0.0005283333946382289,0.0005283333946382289,undefined,undefined
150,96.27079890892915,86.09248087161308,5.105007118685889,-0.3008257249573417,0.1362,0.132,0.14039999999999997,2000,0.0014362567283725018,0.0014362567283725018,0.0014362567283725018,150_151:0.043598189317681835; 150_149:0.01910015321156061,150_151:660; 150_149:660
151,88.10635990349418,87.57023394381429,5.137715662138671,-0.3015498830822645,0.040999999999999925,0.04259999999999997,0.0394,2000,0.0007045049424775986,0.0007045049424775986,0.0007045049424775986,151_166:0.051341336364673806; 151_152:0.020891235316857076,151_166:660; 151_152:660
152,103.90059877600332,29.521474135578124,5.259371127954952,-0.2765982100577266,0.043500000000000094,0.04300000000000004,0.044,2000,0.0007184107155411563,0.0007184107155411563,0.0007184107155411563,152_153:0.019995681088293166,152_153:660
153,89.26989242760975,49.925843057607906,5.292626349489252,-0.3000418255655408,0.015700000000000047,0.02100000000000002,0.0104,2000,0.0005184121678461348,0.0005184121678461348,0.0005184121678461348,153_154:0.016494378448759367,153_154:660
154,48.12100808798992,63.82478537112971,5.200698371567575,-0.29915467716614574,0.0232,0.03200000000000003,0.0144,2000,0.0005172464990350537,0.0005172464990350537,0.0005172464990350537,154_155:0.01707235471684107,154_155:660
155,164.62234325166105,34.036210148401366,5.0649464622241425,-0.2739999981268454,0.05400000000000005,0.0518,0.05620000000000003,2000,0.004453158581334018,0.004453158581334018,0.004453158581334018,155_167:0.0198300679348771; 155_156:0.02870730032424179,155_167:660; 155_156:660
156,158.0152121623043,32.690442790295094,5.146122966128629,-0.30066431663106385,0.022699999999999942,0.0236,0.02180000000000004,2000,0.0008005052653918509,0.0008005052653918509,0.0008005052653918509,156_157:0.0393728529285145,156_157:660
157,176.0134318897343,98.64674924446678,5.055805387212998,-0.30313635327039856,0.06769999999999998,0.0554,0.07999999999999996,2000,0.00045236236557451553,0.00045236236557451553,0.00045236236557451553,undefined,undefined
158,91.28712004308021,93.13100948649841,5.135048471959725,-0.3005595394295539,0.00869999999999993,0.0072,0.010199999999999987,2000,0.00047216928325482686,0.00047216928325482686,0.00047216928325482686,158_157:0.010489725556969781; 158_159:0.017146637265347237,158_157:660; 158_159:660
159,41.95657741074692,24.90986735619008,5.0190466332491255,-0.2691237505731743,0.050799999999999956,0.04159999999999997,0.06,2000,0.0037875405645172444,0.0037875405645172444,0.0037875405645172444,159_160:0.039922559578649014,159_160:660
160,97.59029608892212,82.84470070927522,5.235291449997514,-0.2985391725459272,0.009099999999999997,0.0082,0.010000000000000009,2000,0.0005057038857635478,0.0005057038857635478,0.0005057038857635478,160_161:0.013834137410981967,160_161:660
161,68.46856704667378,72.75382249062912,5.277733481662198,-0.2994778457365312,0.007099999999999995,0.008,0.006199999999999983,2000,0.00038110903493474143,0.00038110903493474143,0.00038110903493474143,undefined,undefined
162,96.35646919986618,95.2741604335307,4.9980577385707115,-0.3042771352575101,0.01990000000000003,0.0222,0.01759999999999995,2000,0.00048460075670194705,0.00048460075670194705,0.00048460075670194705,undefined,undefined
163,91.73444248660364,37.46880555281607,4.983809673487525,-0.28572943451921956,0.02639999999999998,0.027200000000000002,0.0256,2000,0.0018484565834737947,0.0018484565834737947,0.0018484565834737947,163_139:0.03311051692992717,163_139:660
164,114.98345478665324,47.11028686272279,4.896064092948986,-0.2811525003843569,0.06109999999999993,0.0758,0.0464,2000,0.001542351741350936,0.001542351741350936,0.001542351741350936,164_143:0.026723937826733435,164_143:660
165,76.15874906188996,60.92323306225227,4.957001870485143,-0.3232209464411128,0.019300000000000095,0.027800000000000047,0.0108,2000,0.0005191329093518844,0.0005191329093518844,0.0005191329093518844,165_147:0.015112462356031892,165_147:660
166,100.05969430796766,43.221977213129634,5.102057750873658,-0.26246767709832863,0.22150000000000003,0.22099999999999997,0.222,2000,0.11191512279004738,0.11191512279004738,0.11191512279004738,undefined,undefined
167,140.08223233058777,36.38556425076384,5.094042060654178,-0.3019605148497454,0.11969999999999992,0.13339999999999996,0.106,2000,0.0013489049669859702,0.0013489049669859702,0.0013489049669859702,undefined,undefined
168,70.51147308008257,89.93836610678186,5.053999189509062,-0.3029159721322411,0.0353,0.0476,0.02300000000000002,2000,0.0006062303943624753,0.0006062303943624753,0.0006062303943624753,168_159:0.024915358762293366,168_159:660
169,86.7446688863657,66.68597691270352,4.95767864162939,-0.30500210326219823,0.029100000000000015,0.0264,0.03180000000000005,2000,0.00040662378116923244,0.00040662378116923244,0.00040662378116923244,169_162:0.014390264512710138,169_162:660
170,65.10546267290192,70.9885187325081,5.21020769245947,-0.29898058996351035,0.01770000000000005,0.01200000000000001,0.0234,2000,0.00036884109786499667,0.00036884109786499667,0.00036884109786499667,170_171:0.013626146029441871; 170_169:0.012728953969155105,170_171:660; 170_169:660
171,117.09307397658918,100.7789781701994,4.9989825988250285,-0.3045335738373658,0.032299999999999995,0.0412,0.023399999999999976,2000,0.0006952404678103645,0.0006952404678103645,0.0006952404678103645,171_196:0.022575143537207715; 171_172:0.01458799745869832,171_196:860; 171_172:660
172,33.25788479678539,120.64414089080125,5.065851427169115,-0.3029774018530246,0.1563,0.159,0.15359999999999996,2000,0.0006483939592512196,0.0006483939592512196,0.0006483939592512196,172_173:0.013852413869352626,172_173:660
173,92.72102358869104,60.66489952133305,5.023262656055081,-0.304180322180972,0.04610000000000003,0.049799999999999955,0.0424,2000,0.0006337472499477837,0.0006337472499477837,0.0006337472499477837,173_174:0.015272541295093645; 173_163:0.022624695134598305,173_174:660; 173_163:660
174,114.97315463776029,91.9357703779546,5.166294232305878,-0.2997026919719843,0.13840000000000008,0.166,0.11080000000000001,2000,0.0012507975776675547,0.0012507975776675547,0.0012507975776675547,174_175:0.023932363584694166,174_175:660
175,51.93748964253982,32.58307804012214,5.056860831804228,-0.2595408802666361,0.19333333333333336,0.19,0.19666666666666666,2000,0.0037843880319298464,0.0037843880319298464,0.0037843880319298464,175_176:0.0565053701902771,175_176:660
176,77.42348478720487,30.861751846312835,4.895412687096825,-0.26536557252545073,0.18379999999999996,0.1588,0.20879999999999999,2000,0.003927186344696295,0.003927186344696295,0.003927186344696295,176_177:0.03214046016343661,176_177:660
177,129.42422305325383,61.072268187451066,4.929117070171564,-0.3058472022329118,0.05840000000000001,0.05679999999999996,0.06,2000,0.0006434936024830126,0.0006434936024830126,0.0006434936024830126,177_178:0.023519708338939543; 177_164:0.16887752367024414,177_178:660; 177_164:660
178,103.11513137581912,74.85573696966983,5.115372558795544,-0.30047880549317285,0.010399999999999965,0.0136,0.007199999999999984,2000,0.001228484971224194,0.001228484971224194,0.001228484971224194,178_179:0.032924111738807105,178_179:660
179,138.8482987033516,30.78830421226768,4.958010341141018,-0.30511134539125995,0.017299999999999982,0.0182,0.01639999999999997,2000,0.00033761700797175224,0.00033761700797175224,0.00033761700797175224,179_180:0.01803782797319073,179_180:660
180,151.11258702939327,45.247989878820555,5.124089531624243,-0.3016626245869472,0.09550000000000003,0.0978,0.0932,2000,0.0004545074356037283,0.0004545074356037283,0.0004545074356037283,180_181:0.018860284525953813,180_181:660
181,82.89053759963589,96.86482066843568,5.089397368672891,-0.3026258924474405,0.14280000000000004,0.14859999999999995,0.137,2000,0.0008665959134365478,0.0008665959134365478,0.0008665959134365478,181_165:0.020504256224873535; 181_182:0.018775104205885434,181_165:660; 181_182:660
182,73.01670692599524,68.03727068251574,5.218434809232185,-0.2986507371764861,0.058699999999999974,0.06459999999999999,0.0528,2000,0.00038611947040916576,0.00038611947040916576,0.00038611947040916576,182_183:0.03494027146618958,182_183:660
183,108.37929013937617,41.9370280380725,5.074956184176222,-0.27055047927946285,0.12860000000000005,0.14259999999999995,0.1146,2000,0.0035089166377712754,0.0035089166377712754,0.0035089166377712754,183_184:0.02712450933401886,183_184:660
184,118.19761788723441,120.1122583409492,5.1103902496360485,-0.3020528850879616,0.17910000000000004,0.17800000000000005,0.1802,2000,0.0004716073710367578,0.0004716073710367578,0.0004716073710367578,184_185:0.01477729224352839,184_185:660
185,118.51980967076348,81.26787789251516,5.03889049398479,-0.3033970866404316,0.15859999999999996,0.15359999999999996,0.1636,2000,0.0003593603727967496,0.0003593603727967496,0.0003593603727967496,185_166:0.0390698769599451,185_166:660
186,79.27850905418418,40.33618190148306,5.291125080241443,-0.2969579867848776,0.052999999999999936,0.0518,0.054200000000000026,2000,0.0006370169770277116,0.0006370169770277116,0.0006370169770277116,186_185:0.019201401405410184; 186_187:0.015008461573040394,186_185:660; 186_187:660
187,96.93148249779016,100.1369667200725,5.085943200127358,-0.30279244302303515,0.18379999999999996,0.17679999999999996,0.1908,2000,0.00046941965412985846,0.00046941965412985846,0.00046941965412985846,undefined,undefined
188,187.76011040016468,142.03997605344304,4.999470585420924,-0.30302685599348717,0.04359999999999997,0.05279999999999996,0.0344,2000,0.0004553663139178591,0.0004553663139178591,0.0004553663139178591,188_189:0.013013293312294671; 188_187:0.015238442000044289,188_189:660; 188_187:660
189,85.8676673524517,97.18134627701052,5.1340889951990425,-0.3021522133856508,0.031099999999999905,0.0396,0.022599999999999953,2000,0.00034701275764830266,0.00034701275764830266,0.00034701275764830266,189_167:0.011501085206242323,189_167:660
190,55.305703601649704,25.12127511755443,5.391205983048232,-0.294411319309917,0.15159999999999996,0.1508,0.15239999999999998,2000,0.0013936762882062912,0.0013936762882062912,0.0013936762882062912,190_189:0.0167442643554348; 190_191:0.019127453930589233,190_189:660; 190_191:660
191,102.79786902790492,99.23870058533099,5.2045074905105455,-0.30111727393603005,0.014100000000000001,0.0156,0.012599999999999945,2000,0.0003993010763389458,0.0003993010763389458,0.0003993010763389458,undefined,undefined
192,151.45670882566097,98.4014242931487,5.018210421686436,-0.30294917963877344,0.01980000000000004,0.0252,0.0144,2000,0.00043372263691586173,0.00043372263691586173,0.00043372263691586173,192_191:0.01407403084110248,192_191:660
193,46.824103797348364,71.1609846804348,5.269872597633912,-0.2999234863632297,0.05020000000000002,0.052200000000000024,0.0482,2000,0.00044730931812435895,0.00044730931812435895,0.00044730931812435895,193_192:0.014104163324553054; 193_168:0.018281905067863535,193_192:660; 193_168:660
194,42.18589175068073,58.14684846876135,5.45694517748568,-0.2930260372024433,0.01550000000000007,0.0194,0.011600000000000055,2000,0.0005088487796059297,0.0005088487796059297,0.0005088487796059297,194_193:0.014497546670856815; 194_195:0.01613191700836783,194_193:660; 194_195:660
195,82.65061948309626,92.66620235561216,5.324690691535077,-0.29872981908874885,0.008599999999999941,0.0112,0.006000000000000005,2000,0.0003561045367955844,0.0003561045367955844,0.0003561045367955844,undefined,undefined
196,190.68813775858985,30.436509043662777,5.145661852983528,0,0.05910000000000004,0.039000000000000035,0.0792,2000,0.0014277498457015297,0.0014277498457015297,0.0014277498457015297,undefined,undefined
197,81.79673751523276,13.162049478918838,5.096528739675332,-0.30239919559335326,0.09833333333333338,0.10999999999999999,0.08666666666666667,2000,0.000649650856652789,0.000649650856652789,0.000649650856652789,197_209:0.019734375464526277; 197_175:1,197_209:660; 197_175:660
198,84.0882147925887,135.69933401861022,5.052792851471368,-0.3034595304575584,0.05369999999999997,0.08399999999999996,0.0234,2000,0.0008381275217534686,0.0008381275217534686,0.0008381275217534686,198_179:0.011613120834915447; 198_213:0.03307376064574266,198_179:660; 198_213:660
199,81.0753229834909,47.190346706260385,5.1634956937174925,-0.30131361700565035,0.013000000000000012,0.013800000000000034,0.0122,2000,0.00044139224665754154,0.00044139224665754154,0.00044139224665754154,199_183:0.029340851698886367,199_183:660
200,50.548690613649015,61.10653619921524,5.231929896800612,-0.29903685362340626,0.01529999999999998,0.018399999999999972,0.0122,2000,0.0007155345765582875,0.0007155345765582875,0.0007155345765582875,200_221:0.016981406137572236; 200_187:0.024136965125987536,200_221:660; 200_187:660
201,94.228461648802,84.37469681303051,5.081820970317546,-0.3025252484028313,0.021599999999999953,0.0276,0.015599999999999947,2000,0.0004607268791396512,0.0004607268791396512,0.0004607268791396512,201_191:0.011671878937631691; 201_225:0.012242184305076259,201_191:660; 201_225:660
202,110.97735582642447,59.415195950535185,5.4181025477560345,-0.29690381226304147,0.05879999999999996,0.043200000000000016,0.0744,2000,0.0005665392776808042,0.0005665392776808042,0.0005665392776808042,202_229:0.02313224153887189; 202_195:0.01573727649294321,202_229:660; 202_195:660
203,113.85799937383361,89.04916037662295,5.095828488277443,-0.30246355285171256,0.01100000000000001,0.0112,0.010800000000000032,2000,0.0003538699093746196,0.0003538699093746196,0.0003538699093746196,undefined,undefined
204,69.43076304992712,89.62502416699692,5.019331541671318,-0.3022887694955729,0.025800000000000045,0.020399999999999974,0.0312,2000,0.0003487499675301809,0.0003487499675301809,0.0003487499675301809,204_205:0.02598093713745006; 204_203:0.012551392684230167,204_205:660; 204_203:660
205,106.80447890128838,100.40516265963815,5.103965661287345,-0.30326524132284904,0.41879999999999995,0.158,0.6796,2000,0.0009426400599024309,0.0009426400599024309,0.0009426400599024309,205_206:0.016985653557215236; 205_196:0.020984737294711397,205_206:660; 205_196:660
206,62.7176856264025,94.64855031733245,5.159801051257171,-0.3008223955040836,0.07110000000000005,0.07720000000000005,0.065,2000,0.0004821253307302518,0.0004821253307302518,0.0004821253307302518,206_207:0.02162233084210277,206_207:660
207,134.39214236250942,69.1135671402114,5.068100549910486,-0.30258572690535124,0.10210000000000008,0.10140000000000005,0.1028,2000,0.0010730486858652516,0.0010730486858652516,0.0010730486858652516,207_208:0.034489661883553485,207_208:660
208,110.15437403031781,65.28270183852337,5.261318182653396,-0.29879451745106,0.05049999999999999,0.0596,0.04139999999999999,2000,0.00041471372420003207,0.00041471372420003207,0.00041471372420003207,208_209:0.023493354159837665,208_209:660
209,130.08028911138499,45.08530004317155,5.150823507776899,-0.2923803334988806,0.08330000000000004,0.0338,0.13280000000000003,2000,0.0010313925592786615,0.0010313925592786615,0.0010313925592786615,209_210:0.02672575421756998,209_210:660
210,49.83551203836911,25.92111630723274,5.184361333655537,-0.30013688382446746,0.05390000000000006,0.0618,0.04600000000000004,2000,0.0005793406737419392,0.0005793406737419392,0.0005793406737419392,210_211:0.0177485702060953,210_211:660
211,107.81551084809763,108.2086981889886,5.063068864078963,-0.3027525483363567,0.035599999999999965,0.04579999999999995,0.0254,2000,0.0006369339609533002,0.0006369339609533002,0.0006369339609533002,211_232:0.01600218869078182; 211_212:0.026286409163534058,211_232:660; 211_212:660
212,60.79061568173588,120.18693517093203,5.255028338244868,-0.29907519636165436,0.016100000000000003,0.015199999999999991,0.017,2000,0.00033013452275024825,0.00033013452275024825,0.00033013452275024825,212_213:0.014136006902935344,212_213:660
213,111.3972887805868,104.29777122516947,5.1858117909015204,-0.30161979514991094,0.021399999999999975,0.014599999999999946,0.0282,2000,0.0005087885235636237,0.0005087885235636237,0.0005087885235636237,213_214:0.013357408591665704,213_214:660
214,69.62897935721358,73.72458149910244,4.9860720811649735,-0.30325186225616885,0.03059999999999996,0.0338,0.02739999999999998,2000,0.0004201479936282149,0.0004201479936282149,0.0004201479936282149,214_215:0.015312045250848533,214_215:660
215,54.41702532159434,53.12881290839917,5.178302234043253,-0.30090603956588413,0.055300000000000016,0.05900000000000005,0.0516,2000,0.0005581148687514936,0.0005581148687514936,0.0005581148687514936,215_233:0.020414639177289418; 215_216:0.01637979640729706,215_233:660; 215_216:660
216,148.43182228765974,69.27828443907927,5.115006000481928,-0.3012772575554857,0.025700000000000056,0.032,0.019399999999999973,2000,0.00039157779112659094,0.00039157779112659094,0.00039157779112659094,undefined,undefined
217,74.80844102935511,54.12428488338227,5.375123558553485,-0.298929469961709,0.04833333333333334,0.05,0.046666666666666634,2000,0.0006309016267637634,0.0006309016267637634,0.0006309016267637634,217_218:0.026318588198956994; 217_199:0.012986648408265689; 217_216:0.013476204708577355,217_218:660; 217_199:660; 217_216:660
218,82.31568977113855,71.12732559193199,4.940113396191983,-0.3039748539097203,0.07499999999999996,0.09333333333333334,0.05666666666666664,2000,0.0004446177857731553,0.0004446177857731553,0.0004446177857731553,undefined,undefined
219,56.811286386010714,57.99956302422782,5.284687889664803,-0.2985707856364383,0.2138,0.20640000000000003,0.2212,2000,0.0005220296433173185,0.0005220296433173185,0.0005220296433173185,219_218:0.018897478943194712; 219_220:0.037500862807085256,219_218:660; 219_220:660
220,90.88867927717519,77.91282323076074,5.145795826128814,-0.2999786904392504,0.04479999999999995,0.04700000000000004,0.0426,2000,0.002865362272655759,0.002865362272655759,0.002865362272655759,220_221:0.06753434748107792,220_221:660
221,90.7469950436045,89.19511072800067,5.168954404802775,-0.3016000061646333,0.1383333333333333,0.18666666666666665,0.09,2000,0.0017772057266332891,0.0017772057266332891,0.0017772057266332891,undefined,undefined
222,91.84433149917206,106.07704401444617,5.224808694553608,-0.2992158280188164,0.28166666666666673,0.3566666666666667,0.20666666666666667,2000,0.011041139082515812,0.011041139082515812,0.011041139082515812,222_221:0.05390092817508996; 222_223:0.04816628374338919,222_221:660; 222_223:660
223,126.29873337621184,35.420544042783725,5.114540482586524,-0.25189034813016603,0.22833333333333328,0.23333333333333328,0.22333333333333333,2000,0.018146669208697595,0.018146669208697595,0.018146669208697595,223_224:0.09454179892334662; 223_235:1,223_224:660; 223_235:135
224,76.0327982950494,59.31441682500511,5.168440353732333,-0.3002371633543912,0.07210000000000005,0.0766,0.0676,2000,0.000513228126354369,0.000513228126354369,0.000513228126354369,224_225:0.013869134269811512,224_225:660
225,90.24160018978066,87.96092692374326,5.031690963109469,-0.3030947235738782,0.02629999999999999,0.033399999999999985,0.0192,2000,0.0003951385887098321,0.0003951385887098321,0.0003951385887098321,undefined,undefined
226,97.87060024275323,86.35244658960356,5.073334532141853,-0.30154905001037213,0.01639999999999997,0.016599999999999948,0.0162,2000,0.0005997261087372905,0.0005997261087372905,0.0005997261087372905,226_227:0.021739028696811546; 226_225:0.017802327303092252,226_227:660; 226_225:660
227,71.2916022798563,57.659491484348074,5.164390853637618,-0.3007920540774212,0.009299999999999975,0.0126,0.006000000000000005,2000,0.0004724541880793568,0.0004724541880793568,0.0004724541880793568,227_228:0.010464361801600347,227_228:660
228,93.75074702922,33.62334189210288,5.299809994740764,-0.29742339091099806,0.008899999999999908,0.007399999999999962,0.0104,2000,0.0003768654945269351,0.0003768654945269351,0.0003768654945269351,228_229:0.021888235610861423,228_229:660
229,50.92808728966708,70.79135775350659,5.366564304504726,-0.297882528534545,0.1442,0.1064,0.18200000000000005,2000,0.0009801859748215377,0.0009801859748215377,0.0009801859748215377,undefined,undefined
230,76.4985543145332,49.79078158068032,4.943076456848559,-0.30160441674285815,0.044399999999999995,0.027200000000000002,0.0616,2000,0.0005945302068536434,0.0005945302068536434,0.0005945302068536434,230_203:0.022474365570503224,230_203:660
231,39.57356879300571,60.7638307346178,5.116445666247983,-0.30236518514945865,0.05899999999999994,0.0624,0.05559999999999998,2000,0.0005275483835091052,0.0005275483835091052,0.0005275483835091052,231_207:0.027093756121874257,231_207:660
232,109.77442435995874,109.62209256661137,5.112064519118444,-0.3023627018370461,0.08539999999999992,0.0968,0.074,2000,0.0009647539987581715,0.0009647539987581715,0.0009647539987581715,undefined,undefined
